dropout,lr,hidden,optimizer,val_ccc
0.1,0.001,256-128,adam,0.8492946701647313
0.1,0.001,512-256,adam,0.8313472224935394
0.1,0.0005,256-128,adam,0.8178627765237356
0.1,0.01,256-128,sgd,0.8166756562526718
0.3,0.001,512-256,adam,0.8164383586125844
0.1,0.0005,512-256,adam,0.8085455802010216
0.3,0.0005,512-256,adam,0.8050477354021096
0.3,0.001,256-128,adam,0.7851630332067726
0.3,0.0005,256-128,adam,0.7800873456894131
0.5,0.001,512-256,adam,0.7679955076429305
0.5,0.001,256-128,adam,0.7201443286094606
0.5,0.0005,512-256,adam,0.7166973388775597
0.5,0.0005,256-128,adam,0.6850467320993234
